RZ1S	Strzyżów
KR1B	Sucha Beskidzka
ZG2S	Sulechów
GW1U	Sulęcin
SU1S	Suwałki
PO1A	Szamotuły
SZ1S	Szczecin
KO1I	Szczecinek
OL1S	Szczytno
GD2I	Sztum
BY1U	Szubin
RA1S	Szydłowiec
PO1M	Śrem
WR1S	Środa Śląska
PO1D	Środa Wlkp.
SW1S	Świdnica
LU1S	Świdnik
KO2B	Świdwin
ZG1S	Świebodzin
BY1S	Świecie
SZ1W	Świnoujście
TB1T	Tarnobrzeg
GL1T	Tarnowskie Góry
TR1T	Tarnów
GD1T	Tczew
ZA1T	Tomaszów Lub.
PT1T	Tomaszów Maz.
TO1T	Toruń
PO1T	Trzcianka
WR1W	Trzebnica
BY1T	Tuchola
TR2T	Tuchów
KN1T	Turek
KA1T	Tychy
RZ2Z	Tyczyn
KS2E	Ustrzyki Dolne
KR1W	Wadowice
SW1W	Wałbrzych
KO1W	Wałcz
WA3M	Warszawa (IX)
WA1M	Warszawa (VI)
WA2M	Warszawa (VII)
WA4M	Warszawa (X)
WA5M	Warszawa (XIII)
WA6M	Warszawa (XV)
TO1W	Wąbrzeźno
PO1B	Wągrowiec
GD1W	Wejherowo
OL2G	Węgorzewo
SI1W	Węgrów
KR1I	Wieliczka
SR1W	Wieluń
WL1W	Włocławek
LU1W	Włodawa
KI1W	Włoszczowa
GL1W	Wodzisław Śląski
PO1E	Wolsztyn
WA1W	Wołomin
WR1L	Wołów
WR1K	Wrocław
PO1F	Września
ZG1W	Wschowa
PO2H	Wyrzysk
LM1W	Wysokie Maz.
OS1W	Wyszków
GL1Z	Zabrze
NS1Z	Zakopane
LM1Z	Zambrów
ZA1Z	Zamość
CZ1Z	Zawiercie
SW1Z	Ząbkowice Śl.
SR1Z	Zduńska Wola
LD1G	Zgierz
JG1Z	Zgorzelec
ZG1E	Zielona Góra
LE1Z	Złotoryja
PO1Z	Złotów
RA1Z	Zwoleń
ZG1G	Żagań
ZG1R	Żary
BY1Z	Żnin
GL1X	Żory
PL2M	Żuromin
PL1Z	Żyrardów
BB1Z	Żywiec
